[inf] 2017-09-18 06:33:43 | Lisk started: 0.0.0.0:7000
[inf] 2017-09-18 06:33:43 | Modules ready and launched
[inf] 2017-09-18 06:33:43 | Blocks 1
[inf] 2017-09-18 06:33:43 | Genesis block loading - 100.0 %: applied 1 of 1 transactions
[inf] 2017-09-18 06:33:43 | Blockchain ready
[inf] 2017-09-18 06:33:43 | Loading 1 delegates from config
[inf] 2017-09-18 06:33:43 | Forging enabled on account: 4812847286830522561L
[inf] 2017-09-18 06:33:43 | Imported peers from database - {"count":0}
[inf] 2017-09-18 06:33:43 | Broadhash consensus now 0 %
[ERR] 2017-09-18 06:33:43 | Discovering new peers failed - No acceptable peers found
[inf] 2017-09-18 06:33:43 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:33:43 | Forged new block id: 15255401124456614944 height: 2 round: 1 slot: 4160722 reward:0
[inf] 2017-09-18 06:33:43 | Starting sync
[inf] 2017-09-18 06:33:43 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:33:43 | Finished sync
[inf] 2017-09-18 06:33:43 | Starting sync
[inf] 2017-09-18 06:33:43 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:33:43 | Finished sync
[inf] 2017-09-18 06:33:43 | Starting sync
[inf] 2017-09-18 06:33:43 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:33:43 | Finished sync
[inf] 2017-09-18 06:33:43 | Starting sync
[inf] 2017-09-18 06:33:43 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:33:43 | Finished sync
[inf] 2017-09-18 06:33:43 | Starting sync
[inf] 2017-09-18 06:33:43 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:33:43 | Finished sync
[ERR] 2017-09-18 06:33:43 | Sync timer - Failed to find enough good peers
[ERR] 2017-09-18 06:33:48 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:33:53 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:33:58 | Discovering new peers failed - No acceptable peers found
[inf] 2017-09-18 06:34:00 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:34:00 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:34:01 | Forged new block id: 1512302062866318823 height: 3 round: 2 slot: 4160724 reward:0
[ERR] 2017-09-18 06:34:03 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:34:08 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:34:13 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:34:18 | Discovering new peers failed - No acceptable peers found
[inf] 2017-09-18 06:34:20 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:34:20 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:34:20 | Forged new block id: 6915880728197787581 height: 4 round: 2 slot: 4160726 reward:0
[ERR] 2017-09-18 06:34:23 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:34:28 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:34:33 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:34:38 | Discovering new peers failed - No acceptable peers found
[inf] 2017-09-18 06:34:40 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:34:40 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:34:40 | Forged new block id: 6721087098571478148 height: 5 round: 3 slot: 4160728 reward:0
[ERR] 2017-09-18 06:34:43 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:34:48 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:34:53 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:34:58 | Discovering new peers failed - No acceptable peers found
[inf] 2017-09-18 06:35:00 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:35:00 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:35:00 | Forged new block id: 13013609155753750698 height: 6 round: 3 slot: 4160730 reward:0
[ERR] 2017-09-18 06:35:03 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:35:08 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:35:13 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:35:18 | Discovering new peers failed - No acceptable peers found
[inf] 2017-09-18 06:35:20 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:35:20 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:35:20 | Forged new block id: 8018711169801778823 height: 7 round: 4 slot: 4160732 reward:0
[ERR] 2017-09-18 06:35:23 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:35:28 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:35:33 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:35:38 | Discovering new peers failed - No acceptable peers found
[inf] 2017-09-18 06:35:40 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:35:40 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:35:40 | Forged new block id: 7096089301796641099 height: 8 round: 4 slot: 4160734 reward:0
[ERR] 2017-09-18 06:35:43 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:35:48 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:35:53 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:35:58 | Discovering new peers failed - No acceptable peers found
[inf] 2017-09-18 06:36:00 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:36:00 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:36:00 | Forged new block id: 8926417695788137275 height: 9 round: 5 slot: 4160736 reward:0
[ERR] 2017-09-18 06:36:03 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:36:08 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:36:13 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:36:18 | Discovering new peers failed - No acceptable peers found
[inf] 2017-09-18 06:36:20 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:36:20 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:36:20 | Forged new block id: 2887869964366585191 height: 10 round: 5 slot: 4160738 reward:0
[ERR] 2017-09-18 06:36:23 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:36:28 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:36:33 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:36:38 | Discovering new peers failed - No acceptable peers found
[inf] 2017-09-18 06:36:40 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:36:40 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:36:40 | Forged new block id: 6340157302515931430 height: 11 round: 6 slot: 4160740 reward:0
[ERR] 2017-09-18 06:36:43 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:36:48 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:36:53 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:36:58 | Discovering new peers failed - No acceptable peers found
[inf] 2017-09-18 06:37:00 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:37:00 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:37:00 | Forged new block id: 15350689838436182284 height: 12 round: 6 slot: 4160742 reward:0
[ERR] 2017-09-18 06:37:03 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:37:08 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:37:13 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:37:18 | Discovering new peers failed - No acceptable peers found
[inf] 2017-09-18 06:37:20 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:37:20 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:37:20 | Forged new block id: 9108807172690688954 height: 13 round: 7 slot: 4160744 reward:0
[ERR] 2017-09-18 06:37:23 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:37:28 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:37:33 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:37:38 | Discovering new peers failed - No acceptable peers found
[inf] 2017-09-18 06:37:40 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:37:40 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:37:40 | Forged new block id: 4212457365276061881 height: 14 round: 7 slot: 4160746 reward:0
[ERR] 2017-09-18 06:37:43 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:37:48 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:37:53 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:37:58 | Discovering new peers failed - No acceptable peers found
[inf] 2017-09-18 06:38:00 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:38:00 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:38:00 | Forged new block id: 3328671069585127465 height: 15 round: 8 slot: 4160748 reward:0
[ERR] 2017-09-18 06:38:03 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:38:08 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:38:13 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:38:18 | Discovering new peers failed - No acceptable peers found
[inf] 2017-09-18 06:38:21 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:38:21 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:38:21 | Forged new block id: 290280198715587501 height: 16 round: 8 slot: 4160750 reward:0
[ERR] 2017-09-18 06:38:23 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:38:28 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:38:33 | Discovering new peers failed - No acceptable peers found
